Specialty,Division,Success_Count,Success_Count_History,Success_Count_Diff,Base_Score,Base_Score_History,Base_Score_Diff,Avg_Score,Avg_Score_History,Avg_Score_Diff,Top_5_Destination_Regions,Top_5_Competitive_Regions,National_Points_Range,National_Points_Range_History,National_Points_Range_Diff,Special_Category_Rate,Special_Category_Rate_History,Special_Category_Rate_Diff,Active_Regions_Rate,Active_Regions_Rate_History,Active_Regions_Rate_Diff,Leaving_Count,Leaving_Count_History,Leaving_Count_Diff,Top_5_Targeting_1st,Avg_Score_Applicants,Avg_Score_Applicants_History,Avg_Score_Applicants_Diff,Average_Preference_Count,Average_Preference_Count_History,Average_Preference_Count_Diff,Points_Entrance_Gap,Points_Entrance_Gap_History,Points_Entrance_Gap_Diff,Odds_of_Transfer,Odds_of_Transfer_History,Odds_of_Transfer_Diff,Waiting_List_Absolute,Waiting_List_Absolute_History,Waiting_List_Absolute_Diff
ΠΕ05,Δευτεροβάθμια Γενικής,62,"{""2022"": 94, ""2023"": 74, ""2024"": 78, ""2025"": 31, ""2026"": 62}",31.0,22.91,"{""2022"": 79.68, ""2023"": 45.49, ""2024"": 35.76, ""2025"": 44.68, ""2026"": 22.91}",-21.77,85.54,"{""2022"": 137.92, ""2023"": 115.15, ""2024"": 116.24, ""2025"": 116.04, ""2026"": 85.54}",-30.5,"{""Α' ΑΘΗΝΑΣ"": 18, ""Β' ΑΘΗΝΑΣ"": 8, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 8, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 8, ""ΠΕΛΛΑΣ"": 3}","{""ΛΑΡΙΣΑΣ"": 239.84, ""ΞΑΝΘΗΣ"": 155.49, ""Δ' ΑΘΗΝΑΣ"": 149.42, ""Α' ΧΙΟΥ"": 138.81, ""Β' ΑΘΗΝΑΣ"": 98.99}",216.93,"{""2022"": 236.85, ""2023"": 151.63, ""2024"": 209.71, ""2025"": 132.02, ""2026"": 216.93}",84.91,12.9,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 6.41, ""2025"": 3.23, ""2026"": 12.9}",9.67,23.08,"{""2022"": 29.49, ""2023"": 34.62, ""2024"": 30.77, ""2025"": 15.38, ""2026"": 23.08}",7.7,135,"{""2024"": 113, ""2025"": 81, ""2026"": 135}",54.0,"{""Β' ΑΘΗΝΑΣ"": 22, ""ΑΧΑΙΑΣ"": 15, ""Α' ΑΘΗΝΑΣ"": 13, ""Δ' ΑΘΗΝΑΣ"": 9, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 8}",65.92,"{""2024"": 107.41, ""2025"": 97.64, ""2026"": 65.92}",-31.72,1.9,"{""2024"": 2.02, ""2025"": 1.87, ""2026"": 1.9}",0.03,19.62,"{""2024"": 8.83, ""2025"": 18.4, ""2026"": 19.62}",1.22,45.93,"{""2024"": 69.03, ""2025"": 38.27, ""2026"": 45.93}",7.66,73,"{""2024"": 35, ""2025"": 50, ""2026"": 73}",23.0
ΠΕ06,Δευτεροβάθμια Γενικής,105,"{""2022"": 120, ""2023"": 138, ""2024"": 116, ""2025"": 47, ""2026"": 105}",58.0,27.46,"{""2022"": 69.35, ""2023"": 54.52, ""2024"": 20.9, ""2025"": 49.49, ""2026"": 27.46}",-22.03,101.51,"{""2022"": 129.43, ""2023"": 116.26, ""2024"": 115.37, ""2025"": 129.41, ""2026"": 101.51}",-27.9,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 12, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 10, ""ΛΑΡΙΣΑΣ"": 9, ""Α' ΑΘΗΝΑΣ"": 7, ""Δ' ΑΘΗΝΑΣ"": 7}","{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 192.06, ""ΚΑΣΤΟΡΙΑΣ"": 169.9, ""Α' ΜΑΓΝΗΣΙΑΣ"": 150.58, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 124.34, ""Β' ΑΘΗΝΑΣ"": 121.42}",164.6,"{""2022"": 172.97, ""2023"": 141.07, ""2024"": 222.2, ""2025"": 143.61, ""2026"": 164.6}",20.99,15.24,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 2.59, ""2025"": 12.77, ""2026"": 15.24}",2.47,38.46,"{""2022"": 41.03, ""2023"": 55.13, ""2024"": 44.87, ""2025"": 25.64, ""2026"": 38.46}",12.82,319,"{""2024"": 261, ""2025"": 234, ""2026"": 319}",85.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 69, ""Β' ΑΘΗΝΑΣ"": 22, ""Α' ΑΘΗΝΑΣ"": 17, ""ΙΩΑΝΝΙΝΩΝ"": 16, ""Δ' ΑΘΗΝΑΣ"": 14}",98.21,"{""2024"": 117.23, ""2025"": 117.34, ""2026"": 98.21}",-19.13,2.4,"{""2024"": 2.17, ""2025"": 1.91, ""2026"": 2.4}",0.49,3.3,"{""2024"": -1.86, ""2025"": 12.07, ""2026"": 3.3}",-8.77,32.92,"{""2024"": 44.44, ""2025"": 20.09, ""2026"": 32.92}",12.83,214,"{""2024"": 145, ""2025"": 187, ""2026"": 214}",27.0
ΠΕ07,Δευτεροβάθμια Γενικής,16,"{""2022"": 29, ""2023"": 61, ""2024"": 13, ""2025"": 15, ""2026"": 16}",1.0,68.42,"{""2022"": 87.72, ""2023"": 50.57, ""2024"": 74.12, ""2025"": 85.3, ""2026"": 68.42}",-16.88,121.32,"{""2022"": 143.38, ""2023"": 118.99, ""2024"": 114.51, ""2025"": 140.21, ""2026"": 121.32}",-18.89,"{""ΠΙΕΡΙΑΣ"": 2, ""ΠΕΛΛΑΣ"": 2, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 2, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 2, ""Α' ΑΘΗΝΑΣ"": 1}","{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 211.37, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 136.81, ""Δ' ΑΘΗΝΑΣ"": 132.25, ""ΚΙΛΚΙΣ"": 116.35, ""ΠΙΕΡΙΑΣ"": 114.83}",142.95,"{""2022"": 108.68, ""2023"": 111.24, ""2024"": 83.2, ""2025"": 87.8, ""2026"": 142.95}",55.15,25.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 13.33, ""2026"": 25.0}",11.67,15.38,"{""2022"": 14.1, ""2023"": 34.62, ""2024"": 11.54, ""2025"": 6.41, ""2026"": 15.38}",8.97,155,"{""2024"": 150, ""2025"": 150, ""2026"": 155}",5.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 24, ""Β' ΑΘΗΝΑΣ"": 19, ""Α' ΑΘΗΝΑΣ"": 18, ""Δ' ΑΘΗΝΑΣ"": 15, ""Α' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"": 5}",101.96,"{""2024"": 102.99, ""2025"": 105.98, ""2026"": 101.96}",-4.02,2.51,"{""2024"": 2.44, ""2025"": 2.57, ""2026"": 2.51}",-0.06,19.36,"{""2024"": 11.52, ""2025"": 34.23, ""2026"": 19.36}",-14.87,10.32,"{""2024"": 8.67, ""2025"": 10.0, ""2026"": 10.32}",0.32,139,"{""2024"": 137, ""2025"": 135, ""2026"": 139}",4.0
ΠΕ08,Δευτεροβάθμια Γενικής,36,"{""2022"": 25, ""2023"": 61, ""2024"": 31, ""2025"": 31, ""2026"": 36}",5.0,31.46,"{""2022"": 38.03, ""2023"": 46.16, ""2024"": 41.84, ""2025"": 54.69, ""2026"": 31.46}",-23.23,86.22,"{""2022"": 107.56, ""2023"": 92.19, ""2024"": 104.42, ""2025"": 100.51, ""2026"": 86.22}",-14.29,"{""Α' ΠΕΙΡΑΙΑ"": 5, ""Δ' ΑΘΗΝΑΣ"": 4, ""Α' ΑΘΗΝΑΣ"": 3, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 3, ""Α' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"": 3}","{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 132.69, ""Β' ΑΘΗΝΑΣ"": 114.43, ""ΔΡΑΜΑΣ"": 113.02, ""Α' ΑΘΗΝΑΣ"": 102.19, ""Δ' ΑΘΗΝΑΣ"": 101.33}",101.23,"{""2022"": 110.78, ""2023"": 139.2, ""2024"": 177.54, ""2025"": 234.11, ""2026"": 101.23}",-132.88,5.56,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 3.23, ""2026"": 5.56}",2.33,25.64,"{""2022"": 12.82, ""2023"": 29.49, ""2024"": 17.95, ""2025"": 24.36, ""2026"": 25.64}",1.28,121,"{""2024"": 96, ""2025"": 103, ""2026"": 121}",18.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 24, ""Α' ΑΘΗΝΑΣ"": 15, ""Β' ΑΘΗΝΑΣ"": 10, ""Δ' ΑΘΗΝΑΣ"": 7, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 5}",72.58,"{""2024"": 83.81, ""2025"": 80.0, ""2026"": 72.58}",-7.42,2.81,"{""2024"": 2.31, ""2025"": 2.48, ""2026"": 2.81}",0.33,13.64,"{""2024"": 20.61, ""2025"": 20.51, ""2026"": 13.64}",-6.87,29.75,"{""2024"": 32.29, ""2025"": 30.1, ""2026"": 29.75}",-0.35,85,"{""2024"": 65, ""2025"": 72, ""2026"": 85}",13.0
ΠΕ11,Δευτεροβάθμια Γενικής,84,"{""2022"": 92, ""2023"": 113, ""2024"": 57, ""2025"": 53, ""2026"": 84}",31.0,20.36,"{""2022"": 73.14, ""2023"": 53.6, ""2024"": 55.84, ""2025"": 72.84, ""2026"": 20.36}",-52.48,154.26,"{""2022"": 166.05, ""2023"": 160.45, ""2024"": 159.04, ""2025"": 172.7, ""2026"": 154.26}",-18.44,"{""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 19, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 8, ""ΛΑΡΙΣΑΣ"": 5, ""Α' ΜΑΓΝΗΣΙΑΣ"": 5, ""ΣΕΡΡΩΝ"": 5}","{""ΚΙΛΚΙΣ"": 256.64, ""ΤΡΙΚΑΛΩΝ"": 249.27, ""ΛΑΡΙΣΑΣ"": 216.01, ""ΠΕΛΛΑΣ"": 205.66, ""ΦΛΩΡΙΝΑΣ"": 190.79}",236.28,"{""2022"": 252.14, ""2023"": 210.93, ""2024"": 237.95, ""2025"": 195.76, ""2026"": 236.28}",40.52,15.48,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 5.26, ""2025"": 5.66, ""2026"": 15.48}",9.82,37.18,"{""2022"": 33.33, ""2023"": 52.56, ""2024"": 29.49, ""2025"": 29.49, ""2026"": 37.18}",7.69,292,"{""2024"": 303, ""2025"": 301, ""2026"": 292}",-9.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 31, ""ΤΡΙΚΑΛΩΝ"": 22, ""ΛΑΡΙΣΑΣ"": 20, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 16, ""ΗΜΑΘΙΑΣ"": 15}",135.4,"{""2024"": 146.72, ""2025"": 144.26, ""2026"": 135.4}",-8.86,2.39,"{""2024"": 2.73, ""2025"": 2.49, ""2026"": 2.39}",-0.1,18.86,"{""2024"": 12.32, ""2025"": 28.44, ""2026"": 18.86}",-9.58,28.77,"{""2024"": 18.81, ""2025"": 17.61, ""2026"": 28.77}",11.16,208,"{""2024"": 246, ""2025"": 248, ""2026"": 208}",-40.0
ΠΕ33,Δευτεροβάθμια Γενικής,5,"{""2022"": 1, ""2023"": 5, ""2024"": 8, ""2025"": 1, ""2026"": 5}",4.0,35.0,"{""2022"": 34.54, ""2023"": 27.7, ""2024"": 17.2, ""2025"": 25.53, ""2026"": 35.0}",9.47,50.24,"{""2022"": 34.54, ""2023"": 39.75, ""2024"": 39.42, ""2025"": 25.53, ""2026"": 50.24}",24.71,"{""Β' ΑΘΗΝΑΣ"": 1, ""ΑΡΚΑΔΙΑΣ"": 1, ""ΜΕΣΣΗΝΙΑΣ"": 1, ""ΚΑΡΔΙΤΣΑΣ"": 1, ""ΛΑΣΙΘΙΟΥ"": 1}","{""ΚΑΡΔΙΤΣΑΣ"": 82.47, ""ΛΑΣΙΘΙΟΥ"": 51.89, ""ΑΡΚΑΔΙΑΣ"": 41.79, ""Β' ΑΘΗΝΑΣ"": 40.07, ""ΜΕΣΣΗΝΙΑΣ"": 35.0}",47.47,"{""2023"": 31.5, ""2024"": 80.13, ""2026"": 47.47}",-32.66,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0, ""2025"": 0.0, ""2026"": 0.0}",0.0,6.41,"{""2022"": 1.28, ""2023"": 6.41, ""2024"": 8.97, ""2025"": 1.28, ""2026"": 6.41}",5.13,17,"{""2024"": 7, ""2025"": 3, ""2026"": 17}",14.0,"{""Α' ΑΘΗΝΑΣ"": 5, ""Γ' ΑΘΗΝΑΣ"": 2, ""ΗΡΑΚΛΕΙΟΥ"": 1, ""Α' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"": 1, ""ΚΟΡΙΝΘΙΑΣ"": 1}",38.9,"{""2024"": 36.59, ""2025"": 26.44, ""2026"": 38.9}",12.46,4.15,"{""2024"": 4.0, ""2025"": 2.67, ""2026"": 4.15}",1.48,11.34,"{""2024"": 2.83, ""2025"": -0.91, ""2026"": 11.34}",12.25,29.41,"{""2024"": 114.29, ""2025"": 33.33, ""2026"": 29.41}",-3.92,12,"{""2024"": 0, ""2025"": 2, ""2026"": 12}",10.0
ΠΕ34,Δευτεροβάθμια Γενικής,0,"{""2022"": 0, ""2023"": 0, ""2024"": 3, ""2025"": 1, ""2026"": 0}",-1.0,55.09,"{""2024"": 38.19, ""2025"": 55.09}",16.9,55.09,"{""2024"": 58.18, ""2025"": 55.09}",-3.09,{},"{""ΠΡΕΒΕΖΑΣ"": 55.09}",30.22,"{""2024"": 30.22}",,,"{""2024"": 0.0, ""2025"": 0.0}",,0.0,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 3.85, ""2025"": 1.28, ""2026"": 0.0}",-1.28,4,"{""2024"": 5, ""2025"": 4, ""2026"": 4}",0.0,"{""ΤΡΙΚΑΛΩΝ"": 1, ""ΗΛΕΙΑΣ"": 1, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 1}",95.08,"{""2024"": 78.38, ""2025"": 72.51, ""2026"": 95.08}",22.57,4.5,"{""2024"": 1.0, ""2025"": 8.0, ""2026"": 4.5}",-3.5,-17.42,"{""2024"": -20.2, ""2025"": -17.42}",2.78,0.0,"{""2024"": 60.0, ""2025"": 25.0, ""2026"": 0.0}",-25.0,4,"{""2024"": 2, ""2025"": 3, ""2026"": 4}",1.0
ΠΕ78,Δευτεροβάθμια Γενικής,24,"{""2022"": 5, ""2023"": 14, ""2024"": 20, ""2025"": 22, ""2026"": 24}",2.0,24.01,"{""2022"": 62.95, ""2023"": 55.0, ""2024"": 39.24, ""2025"": 21.62, ""2026"": 24.01}",2.39,79.95,"{""2022"": 142.9, ""2023"": 105.46, ""2024"": 94.44, ""2025"": 88.1, ""2026"": 79.95}",-8.15,"{""Β' ΑΘΗΝΑΣ"": 3, ""ΗΡΑΚΛΕΙΟΥ"": 2, ""Β' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"": 2, ""ΚΟΖΑΝΗΣ"": 2, ""Α' ΜΑΓΝΗΣΙΑΣ"": 2}","{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 148.32, ""Δ' ΑΘΗΝΑΣ"": 132.41, ""Α' ΚΕΡΚΥΡΑΣ"": 115.83, ""ΗΡΑΚΛΕΙΟΥ"": 91.31, ""Β' ΑΘΗΝΑΣ"": 78.37}",124.31,"{""2022"": 218.63, ""2023"": 128.07, ""2024"": 133.73, ""2025"": 129.38, ""2026"": 124.31}",-5.07,16.67,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 5.0, ""2025"": 13.64, ""2026"": 16.67}",3.03,19.23,"{""2022"": 6.41, ""2023"": 15.38, ""2024"": 14.1, ""2025"": 16.67, ""2026"": 19.23}",2.56,82,"{""2024"": 54, ""2025"": 64, ""2026"": 82}",18.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 12, ""ΗΡΑΚΛΕΙΟΥ"": 10, ""Α' ΑΘΗΝΑΣ"": 6, ""Α' ΜΑΓΝΗΣΙΑΣ"": 5, ""ΙΩΑΝΝΙΝΩΝ"": 4}",66.12,"{""2024"": 89.81, ""2025"": 85.2, ""2026"": 66.12}",-19.08,2.24,"{""2024"": 1.48, ""2025"": 1.67, ""2026"": 2.24}",0.57,13.83,"{""2024"": 4.63, ""2025"": 2.9, ""2026"": 13.83}",10.93,29.27,"{""2024"": 37.04, ""2025"": 34.38, ""2026"": 29.27}",-5.11,58,"{""2024"": 34, ""2025"": 42, ""2026"": 58}",16.0
ΠΕ79.01,Δευτεροβάθμια Γενικής,33,"{""2022"": 18, ""2023"": 57, ""2024"": 43, ""2025"": 21, ""2026"": 33}",12.0,26.32,"{""2022"": 82.27, ""2023"": 41.32, ""2024"": 33.02, ""2025"": 22.69, ""2026"": 26.32}",3.63,72.26,"{""2022"": 119.35, ""2023"": 96.43, ""2024"": 84.72, ""2025"": 82.33, ""2026"": 72.26}",-10.07,"{""Α' ΑΘΗΝΑΣ"": 6, ""Β' ΑΘΗΝΑΣ"": 5, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 3, ""Δ' ΑΘΗΝΑΣ"": 3, ""ΚΟΡΙΝΘΙΑΣ"": 2}","{""ΗΛΕΙΑΣ"": 146.94, ""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 103.3, ""ΣΕΡΡΩΝ"": 97.71, ""Δ' ΑΘΗΝΑΣ"": 93.07, ""Α' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"": 85.36}",120.62,"{""2022"": 79.57, ""2023"": 141.12, ""2024"": 179.04, ""2025"": 139.91, ""2026"": 120.62}",-19.29,24.24,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 9.3, ""2025"": 4.76, ""2026"": 24.24}",19.48,23.08,"{""2022"": 12.82, ""2023"": 33.33, ""2024"": 33.33, ""2025"": 19.23, ""2026"": 23.08}",3.85,90,"{""2024"": 91, ""2025"": 87, ""2026"": 90}",3.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 15, ""Α' ΑΘΗΝΑΣ"": 7, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 5, ""Α' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"": 4, ""Δ' ΑΘΗΝΑΣ"": 4}",68.97,"{""2024"": 76.91, ""2025"": 68.87, ""2026"": 68.97}",0.1,2.03,"{""2024"": 1.93, ""2025"": 1.82, ""2026"": 2.03}",0.21,3.29,"{""2024"": 7.81, ""2025"": 13.46, ""2026"": 3.29}",-10.17,36.67,"{""2024"": 47.25, ""2025"": 24.14, ""2026"": 36.67}",12.53,57,"{""2024"": 48, ""2025"": 66, ""2026"": 57}",-9.0
ΠΕ80,Δευτεροβάθμια Γενικής,195,"{""2022"": 32, ""2023"": 136, ""2024"": 71, ""2025"": 86, ""2026"": 195}",109.0,25.44,"{""2022"": 40.31, ""2023"": 55.05, ""2024"": 49.49, ""2025"": 23.62, ""2026"": 25.44}",1.82,104.92,"{""2022"": 144.52, ""2023"": 131.43, ""2024"": 118.19, ""2025"": 125.19, ""2026"": 104.92}",-20.27,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 26, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 22, ""Β' ΑΘΗΝΑΣ"": 9, ""ΛΑΡΙΣΑΣ"": 9, ""Δ' ΑΘΗΝΑΣ"": 8}","{""ΚΑΣΤΟΡΙΑΣ"": 287.75, ""ΧΑΝΙΩΝ"": 214.21, ""Β' ΕΒΡΟΥ"": 191.5, ""Β' ΛΕΣΒΟΥ"": 177.87, ""Α' ΑΘΗΝΑΣ"": 158.22}",262.31,"{""2022"": 162.53, ""2023"": 141.98, ""2024"": 119.54, ""2025"": 170.48, ""2026"": 262.31}",91.83,13.33,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 4.23, ""2025"": 8.14, ""2026"": 13.33}",5.19,60.26,"{""2022"": 20.51, ""2023"": 53.85, ""2024"": 35.9, ""2025"": 38.46, ""2026"": 60.26}",21.8,278,"{""2024"": 207, ""2025"": 210, ""2026"": 278}",68.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 34, ""ΑΧΑΙΑΣ"": 19, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 15, ""ΛΑΡΙΣΑΣ"": 13, ""ΤΡΙΚΑΛΩΝ"": 11}",92.88,"{""2024"": 120.32, ""2025"": 117.23, ""2026"": 92.88}",-24.35,2.07,"{""2024"": 1.88, ""2025"": 2.01, ""2026"": 2.07}",0.06,12.04,"{""2024"": -2.13, ""2025"": 7.96, ""2026"": 12.04}",4.08,70.14,"{""2024"": 34.3, ""2025"": 40.95, ""2026"": 70.14}",29.19,83,"{""2024"": 136, ""2025"": 124, ""2026"": 83}",-41.0
ΠΕ81,Δευτεροβάθμια Γενικής,31,"{""2022"": 28, ""2023"": 50, ""2024"": 28, ""2025"": 21, ""2026"": 31}",10.0,13.94,"{""2022"": 50.33, ""2023"": 22.29, ""2024"": 12.04, ""2025"": 23.43, ""2026"": 13.94}",-9.49,70.97,"{""2022"": 112.12, ""2023"": 104.79, ""2024"": 104.81, ""2025"": 81.27, ""2026"": 70.97}",-10.3,"{""ΣΕΡΡΩΝ"": 3, ""Β' ΑΘΗΝΑΣ"": 3, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 3, ""ΧΑΛΚΙΔΙΚΗΣ"": 3, ""ΠΕΛΛΑΣ"": 2}","{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 145.05, ""ΑΧΑΙΑΣ"": 131.08, ""ΙΩΑΝΝΙΝΩΝ"": 124.0, ""ΣΕΡΡΩΝ"": 111.77, ""ΚΑΡΔΙΤΣΑΣ"": 65.52}",131.11,"{""2022"": 98.63, ""2023"": 239.94, ""2024"": 150.16, ""2025"": 175.07, ""2026"": 131.11}",-43.96,19.35,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 10.71, ""2025"": 19.05, ""2026"": 19.35}",0.3,23.08,"{""2022"": 19.23, ""2023"": 38.46, ""2024"": 24.36, ""2025"": 21.79, ""2026"": 23.08}",1.29,72,"{""2024"": 64, ""2025"": 49, ""2026"": 72}",23.0,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 9, ""ΑΧΑΙΑΣ"": 8, ""Β' ΑΘΗΝΑΣ"": 6, ""Α' ΜΑΓΝΗΣΙΑΣ"": 4, ""Α' ΕΥΒΟΙΑΣ"": 3}",59.5,"{""2024"": 92.82, ""2025"": 76.72, ""2026"": 59.5}",-17.22,2.28,"{""2024"": 2.08, ""2025"": 2.56, ""2026"": 2.28}",-0.28,11.47,"{""2024"": 11.99, ""2025"": 4.55, ""2026"": 11.47}",6.92,43.06,"{""2024"": 43.75, ""2025"": 42.86, ""2026"": 43.06}",0.2,41,"{""2024"": 36, ""2025"": 28, ""2026"": 41}",13.0
ΠΕ82,Δευτεροβάθμια Γενικής,129,"{""2022"": 23, ""2023"": 88, ""2024"": 62, ""2025"": 56, ""2026"": 129}",73.0,12.41,"{""2022"": 66.47, ""2023"": 25.07, ""2024"": 16.98, ""2025"": 13.69, ""2026"": 12.41}",-1.28,56.35,"{""2022"": 113.59, ""2023"": 83.35, ""2024"": 69.29, ""2025"": 70.7, ""2026"": 56.35}",-14.35,"{""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 12, ""Α' ΜΑΓΝΗΣΙΑΣ"": 11, ""ΛΑΡΙΣΑΣ"": 9, ""Β' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 7, ""ΠΕΛΛΑΣ"": 7}","{""ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ"": 246.74, ""Α' ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ"": 129.9, ""ΚΟΖΑΝΗΣ"": 124.1, ""ΦΩΚΙΔΑΣ"": 123.77, ""Α' ΧΙΟΥ"": 112.65}",234.33,"{""2022"": 198.94, ""2023"": 136.32, ""2024"": 128.5, ""2025"": 179.41, ""2026"": 234.33}",54.92,6.2,"{""2022"": 0.0, ""2023"": 0.0, ""2024"": 9.68, ""2025"": 1.79, ""2026"": 6.2}",4.41,50.0,"{""2022"": 19.23, ""2023"": 47.44, ""2024"": 42.31, ""2025"": 38.46, ""2026"": 50.0}",11.54,221,"{""2024"": 112, ""2025"": 135, ""2026"": 221}",86.0,"{""ΑΧΑΙΑΣ"": 21, ""Α' ΘΕΣΣΑΛΟΝΙΚΗΣ"": 16, ""ΛΑΡΙΣΑΣ"": 15, ""ΚΟΖΑΝΗΣ"": 12, ""ΗΡΑΚΛΕΙΟΥ"": 10}",46.94,"{""2024"": 70.73, ""2025"": 60.74, ""2026"": 46.94}",-13.8,2.38,"{""2024"": 2.09, ""2025"": 2.99, ""2026"": 2.38}",-0.61,9.41,"{""2024"": -1.44, ""2025"": 9.96, ""2026"": 9.41}",-0.55,58.37,"{""2024"": 55.36, ""2025"": 41.48, ""2026"": 58.37}",16.89,92,"{""2024"": 50, ""2025"": 79, ""2026"": 92}",13.0
